ID,Order ID,Order Date,Total,ASIN,Quantity,Product Name,Insurance_Cats,Insurance_Conf,Insurance_Conf_HL,Gen_Cats,Room
78,114-8454478-4444254,2025-06-24T14:34:48Z,12.71,B0D83RLCQ3,1,"JESSY 18650 Rechargeable Battery Flat Top，3.7V Batteries 3300mAh High Capacity for LED Flashlights, Headlights,Small Fans, Toys (2 Pack)",Camera / Camcorder - Battery,72,Low,Electronics-Components & Prototyping,Camera Equipment
79,111-4805127-5891438,2025-06-24T12:27:50Z,28.39,B0DCQY7JNC,1,"CirC Energy Bites - 12 Pack Chocolate Brownie Gluten Free Protein Balls - 10g Protein, Whole Grains, Nuts & Fruit - Portable Healthy Snacks for Adults & Kids, 5 Piece Resealable Packs",Other,0,Low,Snacks,Other
80,111-9746270-0063412,2025-06-24T07:25:25Z,28.39,B0DCRG5WNQ,1,"CirC Energy Bites - 12 Pack Peanut Chocolate Chip Gluten Free Protein Balls - 10g Protein, Whole Grains, Nuts & Fruit - Portable Healthy Snacks for Adults & Kids, 5 Piece Resealable Packs",Other,0,Low,Snacks,Other
81,113-7841287-2105805,2025-06-24T03:01:05Z,21.13,B0CXW89GC3,1,"360 Count Plastic Silverware Set, 120 Clear Forks, 120 Spoons, 120 Knives, Heavy Duty BPA Free Disposable Plastic Cutlery Set, Premium Clear Plasticware for Party Supplies",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
82,111-9516631-2271446,2025-06-23T21:13:45Z,14.72,B097RBPZWX,1,"HFATMOS Water Splash Balls Float, Mini Bomb Balls for Pool, Absorbent Ball for Activities, Kids Pool Toys Summer Beach Soaking Games Fun Children Party Activities 12 Pcs",Inflatable pool toys,73,Low,Other,Deck/Patio & Yard
83,114-3848595-9704244,2025-06-23T08:57:57Z,360.39,B0F62L3QV8,1,"Portable Air Conditioners, 10000 BTU Portable AC up to 450 Sq.Ft, 3 in 1 AC Unit with Cool, Dehumidifier & Fan Modes, Remote Control & 24H Timer, AC Unit for Bedrooms, Living Rooms & Apartments",Portable air conditioner,72,Low,Other,Attic
84,111-6726087-1182602,2025-06-23T04:21:39Z,28.09,B0BGJ8RD4N,1,"XFCZMG STLINK-V3MINIE,STLINK-V3 Compact Stand-Alone in-Circuit debugger and Programmer for STM32 Mini Probe",Other,0,Low,MCUs-DevBoards,Other
85,114-3427095-6779459,2025-06-20T10:45:17Z,15.87,B003BIFMK6,1,"Dremel A679-02 Sharpening Attachment Kit, For Sharpening Outdoor Gardening Tools, Chainsaws, and Home DIY Projects,",Dremel / Rotary tool,72,Low,Tools-other,Basement - Unfinished
86,114-3427095-6779459,2025-06-20T10:45:17Z,29.64,B0BGM2WMVB,4,"BOSS Women's Tactile Grip Foam Latex Coated Work Gloves, 2-Pack, Water Resistant, Large, Pink/Blue, (B32091-WML2P)",Gloves or mittens - Ladies',72,Low,Tools-other,Clothing & Accs - Womens
87,114-3427095-6779459,2025-06-20T10:45:17Z,26.49,B06WVBX2PS,1,"BHA Zirconia Resin Fiber Sanding and Grinding Discs, 4.5"" x 7/8"", 24 Grit - 25 Pack",Grinder - Angle,40,Low,Tools-other,Basement - Unfinished
88,111-6950935-4983440,2025-06-20T02:35:31Z,10.54,B0752XM8VN,1,"Gorilla Heavy Duty Spray Adhesive, Clear Glue, 14 Ounce (Pack of 1) - All Purpose with Comfort Nozzle for Indoor or Outdoor",Hose spray nozzle,88,High,Household-Consumables,Basement - Unfinished
89,111-1967974-4329064,2025-06-19T19:04:40Z,25.43,B0DGW2LHVQ,1,"Cremo Italian Bergamot Spray Cologne For Men, A Combination of Italian Bergamot, Neroli Blossom, and Fresh Vetiver, 3.4 Fl Oz",Perfume / Cologne,72,Low,Other,Bathroom
90,111-2099933-9629064,2025-06-19T13:26:25Z,10.93,B09W1J7FWG,1,Red Heart Super Saver White Yarn - 3 Pack of 198g/7oz - Acrylic - 4 Medium (Worsted) - 364 Yards - Knitting/Crochet,Other,0,Low,Household-Consumables,Other
91,111-0208521-3661002,2025-06-19T04:24:59Z,25.54,B002OUP6JE,1,"Fairfield The Original Poly-Fil, Premium Polyester Fiber Fill, Soft Pillow Stuffing, Stuffing for Stuffed Animals, Toys, Cloud Decorations, and More, Machine-Washable Poly-Fil Fiber Fill, 5 lbs. Box",Other,0,Low,Household-Consumables,Other
92,111-8512291-3843408,2025-06-19T04:12:57Z,13.77,B07ZYNTH7D,1,"Anezus 12 Gauge Aluminum Wire 100 Feet - 2mm Metal Armature Bendable Sculpting Wire for Crafts, Wreath Making, Jewelry Making, Beading, Floral (Silver)",Other,0,Low,Tools-other,Other
93,111-2519435-3425843,2025-06-18T13:17:33Z,15.89,B082DY67TZ,1,"LUCKY HERP UVA UVB Reptile Light 10.0, Desert UVB 150 Compact Fluorescent Lamp, UVB Light for Reptiles 23W, UVA UVB Reptile Light Bulb, UVB Bulb for Reptiles Bearded Dragons Lizards Tortoises Snakes",Other,0,Low,Electronics-Components & Prototyping,Other
94,114-4166124-3945869,2025-06-18T03:08:16Z,8.19,B06XBB2J3G,1,Jet-Puffed Stacker Marshmallows (8 oz Bag),Other,0,Low,Snacks,Other
95,111-6521652-2801033,2025-06-17T03:27:46Z,24.15,B0D5D7Q42V,3,"ACEBOTT ESP32 Development Board Max V1.0 Compatible with Arduino, USB-C, Wi-Fi, Bluetooth, MicroPython Compatible, Single Board Computer Suitable for Building Mini PC/Smart Robot/Game Console (QA009)",Other,0,Low,MCUs-DevBoards,Other
96,114-2518148-2447435,2025-06-16T13:01:28Z,13.73,B07FBWLGN5,1,"Tough Headwear Thin Elastic Headbands, Sports Headbands for Women & Men - Mens Workout Headband - Running or Soccer Headband - 6-Pack",Hair clip / Headband,44,Low,Other,Bathroom
97,111-7618037-5581015,2025-06-16T04:56:13Z,11.65,B00LP25V1A,1,HiLetgo 3pcs GY-521 MPU-6050 MPU6050 3 Axis Accelerometer Gyroscope Module 6 DOF 6-axis Accelerometer Gyroscope Sensor Module 16 Bit AD Converter Data Output IIC I2C for Arduino,Other,0,Low,Sensor-Modules,Other
98,111-9623467-9749051,2025-06-15T13:20:27Z,10.59,B0DGVCR73H,1,"Cremo Italian Bergamot Antiperspirant & Deodorant for Men, 48-hour Sweat and Odor Protection, 2.65oz",Eye protection,88,High,Household-Consumables,Basement - Unfinished
99,113-5431715-3441056,2025-06-13T12:26:32Z,33.29,B0F5Z1W4Y1,1,"Brawny Tear-A-Square 3-Ply Paper Towels, 12 XL Family Rolls = 30 Regular Rolls, Strong, Absorbent, and Durable with 3 Sheet Sizes (Quarter, Half, Full)",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
100,114-0044998-8974635,2025-06-11T21:50:45Z,50.86,B0DVBB444J,1,In The Swim Super Floc Out - Fast-Acting Pool Water Clarifier & Flocculant - 1 Quart - 2-Pack,Other,0,Low,Household-Consumables,Other
101,111-1129116-9043420,2025-06-11T15:16:03Z,22.25,B0CY2R8FSL,1,SVFISHKK WS2812B RGB LED Digital Individually Addressable Panel Light LED Module Matrix Screen DC5V Controllers Image Video Text Display (2pcs 8x32 Pixels),Other,0,Low,Electronics-Components & Prototyping,Other
102,114-9418587-7134614,2025-06-11T02:22:30Z,21.15,B0CVQRR263,1,"Skechers Women's GO Walk Pant, Serenity Blue/Bold Black, Medium",Pants - Ladies' - Casual,44,Low,Other,Clothing & Accs - Womens
103,114-9418587-7134614,2025-06-11T02:22:30Z,21.15,B0CVQSFSDL,1,"Skechers Women's GO Walk Pant, Beet Red/Bold Black, Medium",Pants - Ladies' - Casual,40,Low,Other,Clothing & Accs - Womens
104,111-6647952-0500265,2025-06-09T23:01:01Z,20.13,B08XYBTSS6,1,Waboba Moon Ball - Gradient (Two Pack) (Colors May Vary),Other,0,Low,Other,Other
105,111-4516427-1413817,2025-06-07T16:19:36Z,13.77,B08GPCB7K3,1,DIYmall 45 RGB LED Rings 45 X WS2812B 5050 Full Color with Integrated Drivers 45 Bits forArduino Raspberry Pi ESP8266 Nodemcu DC5V,Other,0,Low,Electronics-Components & Prototyping,Other
106,111-5380005-5175406,2025-06-06T16:18:03Z,316.78,B09PRB1MZM,2,"TP-Link Deco AX3000 WiFi 6 Mesh System(Deco X55) - Covers up to 6500 Sq.Ft. , Replaces Wireless Router and Extender, 3 Gigabit ports per unit, supports Ethernet Backhaul (3-pack)",Network router,46,Low,Computer Accesories,Office/ Study
107,111-9600055-3679401,2025-06-06T12:09:45Z,28.39,B0DCRG5WNQ,1,"CirC Energy Bites - 12 Pack Peanut Chocolate Chip Gluten Free Protein Balls - 10g Protein, Whole Grains, Nuts & Fruit - Portable Healthy Snacks for Adults & Kids, 5 Piece Resealable Packs",Other,0,Low,Snacks,Other
108,111-1979373-8126634,2025-06-06T05:01:20Z,9.53,B0BW5WGCW6,1,"VOTCT 12PCS 900M-T Soldering Iron Tips Replacement Kit for HAKKO 936,937,907 Atten, Quick,Ryobi, Aoyue, Yihua,Vastar,Sywon,Tabiger,SOAIY,X-Tronic Soldering Station, Solder Tips",Welding - Soldering equipment,72,Low,Tools-Electronics,Garage
109,111-7559285-5089817,2025-06-04T16:17:27Z,14.78,B0DLP29GRN,1,"JESSPOW 4 Pack Rechargeable Battery 14500 3.7V 800mAh, Rechargeable Batteries for Flashlight, Toys etc.",Camera / Camcorder - Battery,43,Low,Electronics-Components & Prototyping,Camera Equipment
110,111-7559285-5089817,2025-06-04T16:17:27Z,9.53,B0BSC71YZ2,1,"10-Pack AA Battery Holder, Interlocking 1-Slot Design, Customizable for Series & Parallel, DIY Electronics, PCB Projects, Arduino, Robotics, STEM, High-Current Contacts, Solder-Friendly, Black",Other,0,Low,Electronics-Components & Prototyping,Other
111,112-3416944-7314652,2025-06-03T13:51:36Z,43.84,B06XNW4SNJ,1,"Dixie 8 1/2 Inch Light-Weight Disposable Paper Plates, White, 500 Count, Bulk Case, 4 Packs/125 Count Per Pack, (Georgia-Pacific #DBP09W)",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
112,111-0236302-1860205,2025-06-02T03:05:03Z,10.06,B07SQV6VLZ,1,HiLetgo ST-Link V2 Emulator Downloader Programmer STM32F103C8T6 STM8 STM32 with Cable (Random Color),Other,0,Low,Tools-Electronics,Other
113,111-6300938-0896235,2025-06-02T02:37:52Z,14.83,B0F28QFHP4,1,EC Buying 2Pcs STM32G030C8T6 STM32 Development Board 64K Flash 8K SRAM SPI LCD Interface System Board STM32 System Board 37 IO Ports,Other,0,Low,MCUs-DevBoards,Other
114,112-7503406-8628261,2025-06-01T02:33:07Z,21,B07QHFH7FN,1,"L'Oreal Paris Thickening Sulfate Free Shampoo and Conditioner, Thickens + Strengthens Thin, Fragile Hair, EverPure, 1 Hair Care Kit",Makeup - hair products (enter price),37,Low,Household-Consumables,Bathroom
115,114-4193298-3790657,2025-06-01T02:28:15Z,11.53,B0DBWL9WC9,1,"Glade PlugIns Refills Air Freshener, Pet Fresh Scent, Scented and Essential Oils for Home and Bathroom, 0.67 Fl Oz, 5 Count",Non-perishable cleaning supplies,35,Low,Household-Consumables,Utility/ Laundry Room
116,111-7545171-0117841,2025-05-30T08:13:19Z,30.64,B0F5Z1W4Y1,1,"Brawny Tear-A-Square 3-Ply Paper Towels, 12 XL Family Rolls = 30 Regular Rolls, Strong, Absorbent, and Durable with 3 Sheet Sizes (Quarter, Half, Full)",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
117,111-6651685-0749829,2025-05-29T02:14:12Z,21.75,B072M4XT1G,1,TATTU 9.6V NiMH Battery 1600mAh Butterfly Nunchuck Stick Rechargeable Battery Pack with TMY Connector for Airsoft ICS CA TM SRC JG G36 G&M733,Other,0,Low,Electronics-Components & Prototyping,Other
118,111-3686936-8298609,2025-05-28T04:51:22Z,23.31,B0852HL336,1,ALITOVE 5V 10A Power Supply Adapter AC/DC Converter 100-240V AC to DC 5 Volt 50W 10Amp 9A 8A 7A 2A Transformer with 5.5x2.5mm Plug for WS2812B WS2813 WS2811 W2813 SK6812 LED Strip Pixel String Light,Other,0,Low,Electronics-Components & Prototyping,Other
119,111-7569372-7726650,2025-05-27T11:56:33Z,17.77,B07CVZDBKV,1,"Colgate Anticavity Kids Toothpaste with Fluoride for Ages 2+, Watermelon Burst Flavor - 4.6 Ounce (4 Pack)",Other,0,Low,Household-Consumables,Other
120,111-7521772-6845042,2025-05-27T11:53:15Z,20.08,B0CPKQVF79,1,"Crest 3D White Brilliance Luminous Purple Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, Fights 100% More Surface Stains, 24 Hour Active Stain Prevention",Other,0,Low,Household-Consumables,Other
121,111-6713788-5400269,2025-05-27T00:27:07Z,21.99,B0C78VHVXB,1,"Nootropics Depot Vitamin D3 + K2 with Vitamin C Tablets | 60 Count | Cholecalciferol + Menaquinone-4 (MK-4) | Mood, & Bone Health | Healthy Calcium Absorption",Non-Prescription Supplements - Enter price,37,Low,Other,Bathroom
122,111-0609599-7975442,2025-05-27T00:25:57Z,29.99,B078SH5C4S,1,"Nootropics Depot Magnesium Glycinate Capsules | 180 Count | Mineral Supplement | Magnesium Supplement | Supports Heart, Muscle, Nerve, and Bone Health",Other,0,Low,Other,Other
123,111-0909438-0313802,2025-05-27T00:23:45Z,19.99,B01F261DFW,1,Nootropics Depot L-Theanine Capsules 200mg (90 Count) | Promotes Relaxation | Supports Healthy Stress Levels + Sleep Cycles | Promotes Cognitive Function + Focus | Amino Acid Supplement,Non-Prescription medication/medicine - Enter price,28,Low,Other,Bathroom
124,111-0817139-8148238,2025-05-27T00:21:19Z,26.99,B07RW44HJR,1,Nootropics Depot MicroZinc Capsules | 20mg | Optimized Zinc Supplement | 90 Count,Non-Prescription Vitamin - Enter price,42,Low,Other,Bathroom
125,111-7865755-2831461,2025-05-27T00:14:04Z,33.99,B01CZ2EFT2,1,"Nootropics Depot KSM-66 Ashwagandha Capsules | 300mg | 180 Count | Withania somnifera Extract | Ayurvedic Herb | Adaptogen Supplement | Stress + Promote Relaxation* | Energy, Memory + Focus*",Non-Prescription Supplements - Enter price,37,Low,Other,Bathroom
126,111-4491173-8645818,2025-05-25T15:10:22Z,10.59,B0BWYBFPW8,1,Dweii 4PCS 3 Watt 8 Ohm Single Cavity Mini Speaker Full-Range Cavity Mobile Portable Advertising Machine Speaker Connector Separating Interface 3.3V 5V for a Variety of Small Electronic Projects,Other,0,Low,Electronics-Components & Prototyping,Other
127,111-2912848-4354620,2025-05-24T23:37:04Z,13.77,B09PR418WZ,1,Flutesan 20 Pcs 3 Pin 10mm Solderless LED Light Strip Connectors Clear Track Lighting Connectors for 5050 RGB Strip Light,Specialty lighting,73,Low,Electronics-Components & Prototyping,Attic
128,111-7049854-3750658,2025-05-24T17:10:35Z,18.01,B004W8H5CM,1,"Tenergy Smart Charger for 8.4V-9.6V NiMH Battery Packs, NiMH Battery Charger for Airsoft Guns, RC Cars, RC Airplanes with Mini Tamiya/Standard Tamiya Connector",Car battery charger,92,High,Electronics-Components & Prototyping,Basement - Unfinished
129,112-0887816-8453853,2025-05-24T15:18:40Z,28.39,B0DCQY7JNC,1,"CirC Energy Bites - 12 Pack Chocolate Brownie Gluten Free Protein Balls - 10g Protein, Whole Grains, Nuts & Fruit - Portable Healthy Snacks for Adults & Kids, 5 Piece Resealable Packs",Other,0,Low,Snacks,Other
130,111-2923318-3712257,2025-05-24T13:33:32Z,10.59,B0BGX5YHVS,1,"RESINWORLD Set of Large + Medium + Small 3D Skull Resin Molds, Flexible Clear Silicone Skull Head Molds, Silicone Molds for Resin, Soap, Clay, Candle Wax Casting, Halloween Home Decoration",Other,0,Low,3D printing,Other
131,111-6185819-8242666,2025-05-24T13:32:21Z,49.71,B0BMTLJWPG,1,"LET'S RESIN Silicone Mold Making Kit 0A, Extra Soft & Elastic Molding Silicone 70.5oz, Liquid Silicone for Mold Making Platinum Cure, Ideal for 3D Silicone Molds, Candle Molds, Soap Molds, Resin Molds",Other,0,Low,Other,Other
132,113-3624228-7545018,2025-05-24T11:40:15Z,22.19,B0CXW89GC3,1,"360 Count Plastic Silverware Set, 120 Clear Forks, 120 Spoons, 120 Knives, Heavy Duty BPA Free Disposable Plastic Cutlery Set, Premium Clear Plasticware for Party Supplies",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
133,114-3320589-9501022,2025-05-24T09:22:28Z,80.73,B01EY9KQ1U,1,Purina Pro Plan Sensitive Skin and Sensitive Stomach Dog Food Lamb and Oat Meal Formula - 24 lb. Bag,Dog food (enter price),72,Low,Other,Pet Care Items
134,114-1191011-7931433,2025-05-24T09:20:34Z,82.13,B01EY9KQ1U,1,Purina Pro Plan Sensitive Skin and Sensitive Stomach Dog Food Lamb and Oat Meal Formula - 24 lb. Bag,Dog food (enter price),72,Low,Other,Pet Care Items
135,114-1191011-7931433,2025-05-24T09:20:34Z,25.31,B07DKXP5Q5,1,"Milk-Bone Mini's Original Dog Biscuits, 15 Ounce (Pack of 6)",Dog food (enter price),72,Low,Other,Pet Care Items
136,112-9107256-8085845,2025-05-23T14:32:47Z,10.07,B0B38YVQ1K,1,"Electric Epoxy Resin Handheld Mixer for Minimizing Bubbles, Stirrer for Resin, Silicone Mixing",Hand mixer,77,Low,Tools-Electronics,Kitchen
137,111-5787975-8818648,2025-05-23T13:08:47Z,28.6,B0DJKQTXRT,1,"Endoscope Camera with Light, Dual-Lens 1920P HD Borescope Camera with 8 Adjustable LED Lights, IP67 Waterproof 7.9mm Inspection Camera, 16.4ft Semi-Rigid Snake Camera with Light",Other,0,Low,Electronics-Components & Prototyping,Other
138,111-1951120-3613827,2025-05-23T07:14:39Z,9.53,B09G9G4LQG,1,"Cayway 3 PCS Small Dragon Egg Silicone Mould for Resin, Dragon Egg Epoxy Silicone Moulds Jewelry Casting Mould for Resin Craft DIY, Keychain, Home Decoration",Other,0,Low,Other,Other
139,111-9851021-4856244,2025-05-23T07:11:54Z,13.77,B0BGJ9F4PG,1,"3D Animal Resin Molds, 4Pcs Lifelike Frog, Lizard, Snails Silicone Mold for Epoxy Resin Casting, Christmas Halloween Easter Home Desktop Cabinets Decor, DIY Crafts",Model kit,37,Low,Other,Play Area/Room
140,111-9198532-5745016,2025-05-23T07:09:26Z,7.36,B0CD232XLW,1,"Halloween Silicone Molds, Skull Molds for Baking Chocolate Skull Gummy Molds for Candy, Jelly, Ice Cube, Crayon, Soap Pack of 2",Ice cube tray,72,Low,Household-Consumables,Kitchen
141,111-2274614-8884202,2025-05-21T20:03:29Z,18.01,B088BTYJH6,1,BTF-LIGHTING WS2812B ECO RGB IC Alloy Wires 5050SMD Individually Addressable 16X16 256 Pixels LED Matrix DC5V Flexible FPCB Full Color Image Video Text Display Light IP30(No Adapter or Controller),Other,0,Low,Electronics-Components & Prototyping,Other
142,111-1763283-1758637,2025-05-21T14:35:31Z,50.94,B0BHXK6FGH,1,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Coconut Chocolate (6 Boxes, 30 Bars)",Other,0,Low,Snacks,Other
143,111-1084311-8121004,2025-05-21T14:34:55Z,51.61,B0BHXFTSV4,1,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Blueberry (6 Boxes, 30 Bars)",Other,0,Low,Snacks,Other
144,111-1188520-3743435,2025-05-21T14:33:46Z,65.1,B0BG8NTZWD,1,"RXBAR Nut Butter and Oat Protein Bars, Protein Snacks, Snack Bars, Honey Cinnamon Peanut Butter (6 Boxes, 30 Bars)",Other,0,Low,Snacks,Other
145,111-8508033-1197068,2025-05-21T14:33:22Z,65.94,B0DJLMG3LP,1,"RXBAR Nut Butter and Oat Protein Bars, Protein Snacks, Snack Bars, Lemon Honey Cashew Butter (30 Bars)",Other,0,Low,Snacks,Other
146,111-2431679-2233847,2025-05-21T14:32:48Z,50.94,B0BG8P6KNZ,1,"RXBAR Nut Butter and Oat Protein Bars, Protein Snacks, Snack Bars, Blueberry Cashew Butter (6 Boxes, 30 Bars)",Boxed goods,32,Low,Snacks,Kitchen
147,111-3745002-4688204,2025-05-21T14:32:17Z,60.77,B0BTTR7BC2,1,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Strawberry (6 Boxes, 30 Bars)",Other,0,Low,Snacks,Other
150,111-0611264-0505857,2025-05-21T14:30:18Z,18.01,B0BD7K5SQK,1,"SUNLU PLA Matte 3D Printer Filament 1.75mm, PLA Filament 1kg Spool (2.2lbs), Dimensional Accuracy +/- 0.02mm, Matte White PLA",Other,0,Low,3D printing,Other
151,111-9018470-5791442,2025-05-20T22:07:36Z,28.59,B0DK9GD52Q,1,"BBDINO Silicone Mold Making Kit, 2.42lb(38.8oz) Super Elastic Liquid Silicone for Mold Making, 3h Fast Cure Mold Making Silicone Rubber for Casting Resin Molds/Silicone Molds/Candle Molds/Soap Molds",Other,0,Low,Other,Other
152,111-6131465-6150637,2025-05-18T03:37:30Z,20.03,B07WWK29XF,1,"Arduino Nano Every with headers [ABX00033] - Compact ATmega4809 Microcontroller with Micro USB, 20 Digital I/O, 6 Analog Inputs, and Easy Prototyping for DIY Projects",Other,0,Low,MCUs-DevBoards,Other
153,111-7418544-8890651,2025-05-17T23:07:18Z,15.79,B08ZMS25J5,1,"6 Pcs Chocolate Molds Silicone - Fun Robot & Brick Non-Stick Shapes, Heat-Resistant, Easy to Use and Clean, Gummy Molds Silicone Design for Candy, Chocolate, Ice, Gelatin, and Cake Decorating",Bakeware set,42,Low,Household-Consumables,Kitchen
154,111-1364527-1157817,2025-05-17T23:03:25Z,10.59,B08B2YQZ9M,1,"Rolio Mica Powder, 5g, 15 Bags - Pearlescent Color Pigment - Art Set for Resin Epoxy - for Soap Making, Nail Polish, Lip Gloss, Eye Shadow, Slime & Candle Jars - (Original Set)",Other,0,Low,Other,Other
155,111-0304214-3223472,2025-05-17T23:00:12Z,40.99,B0C6DQM24Z,1,"BBDINO Silicone Mold Making Kit 30A 4.4 lbs Translucent, High Strength Liquid Silicone Rubber for Molds Making,1:1 by Volume Ideal for Casting Resin/Silicon/Soap/Concrete Molds",Model kit,72,Low,Other,Play Area/Room
156,111-3921174-7973859,2025-05-17T00:22:07Z,180.19,B00DRBBRU6,1,"Greenworks 40V 16"" Brushless Cordless Chainsaw, 4.0Ah Battery and Charger Included",Car battery charger,92,High,Tools-other,Basement - Unfinished
157,114-4466115-2977819,2025-05-16T07:18:53Z,30.64,B0CTKR5278,1,"Brawny Tear-A-Square Paper Towels, 12 Family Rolls = 30 Regular Rolls, 2X More Durable*, 3 Sheet Sizes, Strong and absorbent extra-large roll",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
158,111-4257687-5752246,2025-05-15T23:32:36Z,26.36,B0DTQ7LBXP,1,"Tide Ultra Oxi Boost Liquid Laundry Detergent, 148 fl oz, 105 Loads, Advanced Stain Remover, Laundry Detergent Liquid with Extra Oxi Power",Non-perishable cleaning supplies,37,Low,Household-Consumables,Utility/ Laundry Room
159,111-1021169-5004263,2025-05-15T01:22:54Z,1.78,B07W95HYLH,2,"Amazon Brand - Happy Belly Seltzer Sparkling Water, 33.8 fl oz (Pack of 1)",Other,0,Low,Household-Consumables,Other
160,112-6474384-1875406,2025-05-14T17:03:01Z,20.13,B09W23RMK8,1,"Stronghero3D PLA 3D Printer Filament 1.75mm, Galaxy red,Silk Blue, Silk Purple,Net Weight 1kg",Other,0,Low,3D printing,Other
