ID,items,date,Real Total,category
1,Fisher-Price Little Superstar Step N' Play Piano; ,2013-12-30,109.99,Other
63,"Edimax EW-7811Un 150 Mbps Wireless 11n Nano Size USB Adapter with EZmax Setup Wizard; Cheetah Mounts APTMM2B Flush Tilt Dual Hook (1.3"" from wall) Flat Screen TV Wall Mount Bracket for 32-65 inch Plasma, LED, and LCD TVs Up To VESA 700x400 and 165lbs, Including 10' Braided High Speed with Ethernet HDMI Cable and 3-Axis Magnetic Bubble Level; ",2013-09-26,34.99,Tools-Electronics
64,Tranquil Turtle Sleep Machine; ,2013-09-25,44.0,Other
65,"Little Remedies Tummys Gripe Water, 4 Fluid Ounce; ",2013-09-24,14.2,Household-Consumables
66,"Little Remedies Infants and Children Tummys Gas Relief Drops, Natural Berry Flavor, .5 Ounce; ",2013-09-24,7.4,Household-Consumables
67,Tie Necktie #127 Gingham Blue Month Stickers for Bodysuit Boy; Tie Necktie #128 Green Gingham Month Stickers for Bodysuit Boy; ,2013-09-23,24.0,Baby-Diapers
68,"Squeem Firm Compression Miracle Vest Shapewear, Beige, XL; ",2013-09-22,64.56,Other
69,"MAM Start Orthodontic Pacifier, Blue; ",2013-09-22,14.98,Baby-Diapers
70,Standard Nipples Level One - 2 Pack By Dr. Brown's; ,2013-09-17,4.06,Baby-Diapers
71,Shrimp Bunting Costume; ,2013-09-16,21.98,Other
72,Shark Bunting Costume; ,2013-09-16,22.52,Other
73,Mohu Leaf Ultimate Amplified Indoor HDTV Antenna; ,2013-09-15,77.74,Electronics-Components & Prototyping
74,MAM Eco 2+ Orthodonic Pacifiers 3 Ct.; ,2013-09-13,8.95,Baby-Diapers
75,Stretch Gaucho Pants with Banded Waist from Hot Fash Shorts - SALEEN Black; ,2013-09-13,40.99,Other
76,"Dr. Brown's BPA Free Polypropylene Natural Flow Bottle Newborn Feeding Set; MAM 2 Count Night Glow in the Dark Silicone Pacifier, Blue; ",2013-09-12,26.94,Baby-Diapers
77,Dr. Brown's BPA Free Polypropylene Natural Flow Bottle Newborn Feeding Set; ,2013-09-06,20.17,Baby-Diapers
78,"Munchkin High Capacity Drying Rack, White; NUK Silicone Orthodontic Nipples, Medium, 0m+, 2 Pack; NUK 3 Count Trendline Tie Dye Orthodontic Bottle, Boy, 5 Ounce; ",2013-09-05,33.93,Baby-Diapers
78,"Munchkin High Capacity Drying Rack, White; NUK Silicone Orthodontic Nipples, Medium, 0m+, 2 Pack; NUK 3 Count Trendline Tie Dye Orthodontic Bottle, Boy, 5 Ounce; ",2013-09-05,33.93,Home Organization
79,"Conair SU1W Sound Therapy, Silver; ",2013-09-04,16.07,Other
80,Zenana Women's Zenana Loose Slouch Goucho Exercise and Lounge Capri Pants Large A; Zenana Women's Zenana Loose Slouch Goucho Exercise and Lounge Capri Pants Large CHARC; ,2013-08-27,22.58,Other
81,Regalo Easy Step Extra Tall Walk Thru Gate - White; ,2013-08-25,38.59,Home Organization
82,"Disney Lion King ""Pride"" Cuddly Bodysuit 3-Pack, Grey/Olive/White, 3-6 Months; ",2013-08-25,9.99,Baby-Diapers
83,"Gabrialla Breathable Elastic Abdominal Binder for Women (9"" Wide) - Black-X-Large; ",2013-08-24,28.59,Other
84,"Medela Seamless Underwire Nursing Bra #36-98 (38G, Nude); ",2013-08-17,40.7,Other
85,How to Shop for Free: Shopping Secrets for Smart Women Who Love to Get Something for Nothing; ,2013-08-10,7.89,Other
86,"Pick Another Checkout Lane, Honey: Save Big Money & Make the Grocery Aisle your Catwalk!; ",2013-08-10,5.49,Other
87,"Gabrialla Breathable Elastic Abdominal Binder for Women (9"" Wide) - Black-Large; ",2013-08-09,28.99,Other
88,"Axe Shower Gel Deep Space, 16 Ounce; ",2013-08-07,10.21,Household-Consumables
89,"Extra Protection Shave Gel Men Shave Gel by Edge, 7 Ounce; Schick Hydro 5 Blade Razor; Bumbo Floor Seat, Blue; ",2013-08-07,46.77,Baby-Diapers
89,"Extra Protection Shave Gel Men Shave Gel by Edge, 7 Ounce; Schick Hydro 5 Blade Razor; Bumbo Floor Seat, Blue; ",2013-08-07,46.77,Household-Consumables
90,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep; ,2013-08-07,10.86,Other
91,San Diego Bebe Twins Nursing Breastfeeding Pillow Mocha with Waterproof Topper Cover; ,2013-08-03,69.99,Baby-Diapers
92,Bergan Petite Gourmet Combo (Colors Vary); ,2013-07-29,19.99,Other
93,"Baskerville 7-1/2-Inch Rubber Ultra Muzzle, Size-4, Black; ",2013-07-28,16.89,Horse-Equipment
94,"Bebe Au Lait Nursing Cover, Mint Chocolate; ",2013-07-24,19.37,Baby-Diapers
95,"USB Cable Power Adapter for Apple iPod, iPhone, iPhone 3G, iPhone 4,Touch, Shuffle, Nano, Classic (White); ",2013-07-24,5.64,Computer Accesories
96,6Ft USB Sync Data Charging Charger Cable Cord for Apple iPhone 4 4S 4G 4th 3 3G 3GS Gen iPod Touch Nano (Does not support All iPads); ,2013-07-24,3.94,Computer Accesories
97,(5 PACK) USB Sync/Charging Cable (3 ft) for Apple iPhones & iPods; ,2013-07-24,2.76,Computer Accesories
98,"Ace Ankle Brace One Size, 1-Count Package; ",2013-07-11,14.01,Other
99,Hammocks Rada Handmade Yucatan Hammock Matrimonial Size Natural Color; ,2013-05-09,71.46,Other
100,VideoSecu 100 Feet Video Power BNC RCA Cable for CCTV Security Cameras 1JE; VideoSecu 12V DC CCTV Security Camera Power Supply Adapter with 4 (2.1mm) Channel Connectors Port PW154 1I0; ,2013-03-12,43.84,Electronics-Components & Prototyping
101,SanDisk Ultra 64 GB MicroSDXC Class 10 UHS-1 Memory Card with Adapter (SDSDQU-064G-AFFP-A); ,2013-03-10,55.43,Computer Parts
102,MegaGear High Quality MacBook Air 11.6-inch Masque Silver Frame Screen Protector Anti-Glare 11-inch; ,2013-03-10,25.99,Computer Accesories
103,"The First Years Take & Toss Toddler Bowls, 8 Ounce, 6 Pack; Gerber Graduates Grabbers, Fruit and Yogurt Tropical, 4.23 Ounce (Pack of 12); ",2014-12-22,26.98,Baby-Diapers
103,"The First Years Take & Toss Toddler Bowls, 8 Ounce, 6 Pack; Gerber Graduates Grabbers, Fruit and Yogurt Tropical, 4.23 Ounce (Pack of 12); ",2014-12-22,26.98,Snacks
104,"AC Wall to DC Car and Dual USB Charger Converter - Includes 2 USB Ports and 1 12V Cigarette Lighter Port Ideal for Charging GPS, Phones, and More While at Home; ",2014-12-22,14.99,Electronics-Components & Prototyping
105,Silicone Triangle Push-up breast Pads swimsuit and bra inserts; ,2014-12-22,9.39,Other
106,"Ladies' Cotton/Spandex Fitness Pants, Color: Navy, Size: X-Large; ",2014-12-18,22.79,Other
107,"adidas Performance Women's Ultimate Short-Sleeve V-Neck Tee, Large, Black; ",2014-12-18,16.2,Other
108,C2G / Cables to Go 27016 Velocity Toslink to Optical Mini Plug Digital Cable (2 Meter/6.6 Feet); ,2014-12-17,9.33,Computer Accesories
109,LP Rhythmix Plastic Egg Shakers (Pair) Blueberry; ,2014-12-15,2.99,Other
110,LP RhythMix Animal Shaker Set; ,2014-12-15,8.15,Other
111,LP Rhythmix Plastic Egg Shakers (Pair) Cherry; ,2014-12-15,2.99,Other
112,"PRO-15: #1 Recommended Best Probiotic Supplement: 60 Once Daily Time Release Pearls - 15x More Effective than Capsules with Patented Delivery Technology - Easy to Swallow - Great Probiotics Supplement for Women, Men & Children - Improve Your Digestive System and Intestinal Health; ",2014-12-15,28.94,Other
113,"MpowÂ® Streambot 2-In-1 Wireless Bluetooth Audio Music Streaming Switchable Receiver and Transmitter With 3.5mm Stereo Output - Connect Your PC, iPhone, iPod, iPad, Tablets Or MP4 Player To Speakers And Entertainment Systems, Home Or Car; ",2014-12-12,27.99,Electronics-Components & Prototyping
114,"2-Pack Child Proof Deluxe Top Door Lock; Melissa & Doug Habitats Reusable Sticker Pad; Beech-Nut Fruities On The Go Puree, Banana Apple Strawberry, 4 Ounce (Pack of 16); ",2014-12-12,37.01,Home Organization
114,"2-Pack Child Proof Deluxe Top Door Lock; Melissa & Doug Habitats Reusable Sticker Pad; Beech-Nut Fruities On The Go Puree, Banana Apple Strawberry, 4 Ounce (Pack of 16); ",2014-12-12,37.01,Office Supplies
114,"2-Pack Child Proof Deluxe Top Door Lock; Melissa & Doug Habitats Reusable Sticker Pad; Beech-Nut Fruities On The Go Puree, Banana Apple Strawberry, 4 Ounce (Pack of 16); ",2014-12-12,37.01,Snacks
115,"Munchkin Click Lock Re-usable Sippy Cups, 10 Ounce, 8-Count; ",2014-12-09,9.99,Baby-Diapers
116,"Wilton Recipe Right 8 Inch Square Pan; Round Heat Insulation Silicone Trivets Pot Holder Coaster Placemat Hot Pad Trivet Mats (3-piece, Assorted Colors) - 0.8cm Thickness; Options Conceptrol Contraceptive Gel with 10 pre-filled applicators; ",2014-12-08,29.99,Household-Consumables
116,"Wilton Recipe Right 8 Inch Square Pan; Round Heat Insulation Silicone Trivets Pot Holder Coaster Placemat Hot Pad Trivet Mats (3-piece, Assorted Colors) - 0.8cm Thickness; Options Conceptrol Contraceptive Gel with 10 pre-filled applicators; ",2014-12-08,29.99,Other
117,KidCo Anti-Tip Furniture Strap - 6 Pack; ,2014-12-04,13.29,Home Organization
118,"Coolaroo Large Steel-Framed Pet Bed, Brunswick Green; ",2014-12-03,26.99,Other
119,Doinshop Boys Winter Warm Cap Hat Beanie Pilot Aviator Crochet Earflap Hats (blue); ,2014-12-03,10.38,Other
120,"Philips AVENT Soft Spout Magic Cup, 9 Ounce, Twin, Color May Vary; ",2014-12-03,16.47,Household-Consumables
121,"Beech-Nut Fruities On The Go Puree, Apple Peach Strawberry, 4 Ounce (Pack of 16); Playtex Gentle Glide Tampons Multipack, Unscented Regular/Super Absorbency, 50 Count; Mommy's Helper Outlet Plugs, 36 Count; Tampax Super Absorbency, Unscented Plastic Applicator Tampons, 36 Count; ",2014-12-03,31.22,Home Organization
121,"Beech-Nut Fruities On The Go Puree, Apple Peach Strawberry, 4 Ounce (Pack of 16); Playtex Gentle Glide Tampons Multipack, Unscented Regular/Super Absorbency, 50 Count; Mommy's Helper Outlet Plugs, 36 Count; Tampax Super Absorbency, Unscented Plastic Applicator Tampons, 36 Count; ",2014-12-03,31.22,Household-Consumables
121,"Beech-Nut Fruities On The Go Puree, Apple Peach Strawberry, 4 Ounce (Pack of 16); Playtex Gentle Glide Tampons Multipack, Unscented Regular/Super Absorbency, 50 Count; Mommy's Helper Outlet Plugs, 36 Count; Tampax Super Absorbency, Unscented Plastic Applicator Tampons, 36 Count; ",2014-12-03,31.22,Snacks
122,"Amerifit Azo Max Strength, Tablets, 24-Count; ",2014-12-03,10.58,Other
123,Philips Avent Toddler Spout Cups - 2 Pack - 7 Oz - 6m - Boy Colors; ,2014-12-02,8.1,Household-Consumables
124,Energizer CR1632 Lithium Battery 3V (2 Batteries per pack); ,2014-12-02,3.49,Electronics-Components & Prototyping
125,Old Spice Fresh Men's Body Wash - Zanzibar - 16 oz; ,2014-12-02,10.02,Household-Consumables
126,"6 Color Pack Paisley Bandana Scarf, Head Wraps BLACK; ",2014-11-30,6.75,Other
127,Sof Sole Men's  Airr Orthotic Performance Insole (7-8.5); ,2014-11-29,16.89,Other
128,"Elma Men's Touchscreen Texting Winter Italian Nappa Leather Gloves (9.5, Black (2014 Winter New Cashmere Lining)); ",2014-11-29,39.99,Other
129,"Hamilton Beach 33957 Programmable Stay or Go Slow Cooker, 5-Quart, Silver; Black & Decker DR560 7.0-Amp 1/2-Inch Drill/Driver; ",2014-11-28,68.99,Household-Consumables
129,"Hamilton Beach 33957 Programmable Stay or Go Slow Cooker, 5-Quart, Silver; Black & Decker DR560 7.0-Amp 1/2-Inch Drill/Driver; ",2014-11-28,68.99,Tools-other
130,Digital Instant-Read Meat Thermometer Cooking BBQ Thermometer with Stainless Steel Casing & Probe; ,2014-11-25,29.99,Tools-Electronics
131,Digital Instant-Read Meat Thermometer Cooking BBQ Thermometer with Stainless Steel Casing & Probe; ,2014-11-25,29.99,Tools-Electronics
132,Nosefrida Baby Nasal Aspirator with 4 filters and 20 Additional Filters; ,2014-11-25,21.79,Baby-Diapers
133,"Disney Doc McStuffins Collapsible Storage Trunk; Tipi Toe Women's 12 Pack No Show Athletic Socks; Brach's Autumn Mix, 11oz bag of Candy; Wilton Candy Eyeballs,0.88 oz,Count of 56; ",2014-11-24,37.09,Home Organization
133,"Disney Doc McStuffins Collapsible Storage Trunk; Tipi Toe Women's 12 Pack No Show Athletic Socks; Brach's Autumn Mix, 11oz bag of Candy; Wilton Candy Eyeballs,0.88 oz,Count of 56; ",2014-11-24,37.09,Other
133,"Disney Doc McStuffins Collapsible Storage Trunk; Tipi Toe Women's 12 Pack No Show Athletic Socks; Brach's Autumn Mix, 11oz bag of Candy; Wilton Candy Eyeballs,0.88 oz,Count of 56; ",2014-11-24,37.09,Snacks
134,EskyÃÂ® Rechargable LCD Remote Control Dog Training Shock Collar with 100 Level Shock and Vibration; ,2014-11-23,27.99,Horse-Equipment
135,Motorola HK250 Universal Bluetooth Headset - Retail Packaging - Black; ,2014-11-21,20.49,Computer Accesories
136,4-way Tunnel Pop-up Fun Junction Set 8 Feet Toy Tent Kids Play Tube; ,2014-11-17,27.98,Other
137,"ALEX Toys - Bathtime Fun, Blow Bubbles In The Tub, 831W; ",2014-11-16,6.32,Other
138,Under Armour Women's UA Perfect Shape Tight Capri Medium Black; ,2014-11-14,37.97,Other
139,Set of 3 Floating U Shelves in Walnut Finish; ,2014-11-13,21.83,Home Organization
140,Leisure Time O Filter Clean Cartridge Cleaner; ,2014-11-13,21.3,Cleaning-Supplies
141,"Malden Our Family Tree - Growing memories one smile Great Woods Frame, 6 Opening; ",2014-11-12,28.19,Home Organization
142,"Reditainer Deli Food Storage Containers with Lid, 32-Ounce, 24-Pack; Honey-Can-Do DRY-01410 Plastic Clothespins, 50-Pack; Da Vinci 50 Clay Composite Dice Striped 11.5-Gram Poker Chips (Light Blue); ",2014-11-10,28.18,Home Organization
142,"Reditainer Deli Food Storage Containers with Lid, 32-Ounce, 24-Pack; Honey-Can-Do DRY-01410 Plastic Clothespins, 50-Pack; Da Vinci 50 Clay Composite Dice Striped 11.5-Gram Poker Chips (Light Blue); ",2014-11-10,28.18,Household-Consumables
142,"Reditainer Deli Food Storage Containers with Lid, 32-Ounce, 24-Pack; Honey-Can-Do DRY-01410 Plastic Clothespins, 50-Pack; Da Vinci 50 Clay Composite Dice Striped 11.5-Gram Poker Chips (Light Blue); ",2014-11-10,28.18,Other
143,Chunky Pack 3 (Chunky 3 Pack); ,2014-11-10,4.49,Other
144,"Philips Avent Straw Cup 9 Ounce, Blue, 2 Pack; ",2014-11-09,9.38,Household-Consumables
145,"SlimLine 2235 Flat Plug Extension Cord, 2-Wire, White, 3-Foot; Munchkin Deluxe Bottle Brush, Colors May Vary; OXO Good Grips Dish Brush; Desitin Diaper Rash Paste Maximum Strength, 16-Ounce Jar; ",2014-11-09,25.06,Baby-Diapers
145,"SlimLine 2235 Flat Plug Extension Cord, 2-Wire, White, 3-Foot; Munchkin Deluxe Bottle Brush, Colors May Vary; OXO Good Grips Dish Brush; Desitin Diaper Rash Paste Maximum Strength, 16-Ounce Jar; ",2014-11-09,25.06,Cleaning-Supplies
145,"SlimLine 2235 Flat Plug Extension Cord, 2-Wire, White, 3-Foot; Munchkin Deluxe Bottle Brush, Colors May Vary; OXO Good Grips Dish Brush; Desitin Diaper Rash Paste Maximum Strength, 16-Ounce Jar; ",2014-11-09,25.06,Electronics-Components & Prototyping
145,"SlimLine 2235 Flat Plug Extension Cord, 2-Wire, White, 3-Foot; Munchkin Deluxe Bottle Brush, Colors May Vary; OXO Good Grips Dish Brush; Desitin Diaper Rash Paste Maximum Strength, 16-Ounce Jar; ",2014-11-09,25.06,Household-Consumables
146,"iPearl mCover Hard Shell Case for 11.6"" HP ENVY X2 series convertible laptops (Blue); ",2014-11-06,19.99,Computer Accesories
147,VTech Communications Safe and Sound Digital Audio Monitor; ,2014-11-06,21.97,Baby-Diapers
148,"The Hillman Group 591520 Small Wire Nail and Brad Assortment, 260-Pack; House of Doolittle Bar Harbor Academic Monthly Wall Calendar 12 Months August 2014 to July 2015, 12 x 17 Inches, Blue and Gray Recycled (HOD352); ",2014-11-06,18.54,Office Supplies
148,"The Hillman Group 591520 Small Wire Nail and Brad Assortment, 260-Pack; House of Doolittle Bar Harbor Academic Monthly Wall Calendar 12 Months August 2014 to July 2015, 12 x 17 Inches, Blue and Gray Recycled (HOD352); ",2014-11-06,18.54,Repair
149,American Plastic Toys My First Climber; ,2014-11-06,39.99,Other
150,"Philips Avent Straw Cup 9 Ounce, Blue, 2 Pack; ",2014-11-05,10.95,Household-Consumables
151,"Maidenform Flexees Women's Shapewear Tailored Tank, Black, X-Large; ",2014-11-05,24.99,Other
152,"Sleep Easy Sound Conditioner, White Noise Machine; ",2014-11-05,23.46,Other
153,Dog Training Whistle UltraSonic Sound Ultra Sonic by DPNY; ,2014-11-04,2.9,Horse-Equipment
154,"Enesco Our Name Is Mud by Lorrie Veasey You Me Better Mdf Photo Frame, 1-Inch; Dad Scrapbook Frame; I Love Daddy Chalkboard Picture Frame; ",2014-11-03,22.03,Home Organization
155,Bumblebee Kids Vocabulary Builder 1; ,2014-11-03,24.95,Other
156,"Nuby 16 Piece Bath Tub Foam, Animal Characters; Disney Jake & The Neverland Pirates Bubble Bath, 24 Ounce; Sassy Soft Swimmers Animal Characters Bath Toy, 3 Pack; ASICS Men's GT-2000 Running Shoe,Black/Brilliant Blue/Lime,9.5 D US; Tipi Toe Women's 12-Pack No Show Athletic Socks SP09, Sock Size 9-11; ",2014-11-03,93.3,Household-Consumables
156,"Nuby 16 Piece Bath Tub Foam, Animal Characters; Disney Jake & The Neverland Pirates Bubble Bath, 24 Ounce; Sassy Soft Swimmers Animal Characters Bath Toy, 3 Pack; ASICS Men's GT-2000 Running Shoe,Black/Brilliant Blue/Lime,9.5 D US; Tipi Toe Women's 12-Pack No Show Athletic Socks SP09, Sock Size 9-11; ",2014-11-03,93.3,Other
157,Under Armour Women's UA Authentic ColdGearÃÂ® Fitted Tight Large Black; ,2014-11-02,49.98,Other
158,"ASICS Women's Gel-Kayano 20 Running Shoe,Purple/White/Lavender,9.5 M US; ",2014-10-30,103.94,Other
159,Dreambaby Adhesive Magnetic Lock 8 Locks 1 Key; ,2014-10-30,54.98,Repair
160,"Personalized 10th Wedding Anniversary Cross "" Love Never Gives Up"" Cream Color (4.25"" W X 6"" H) Love Cross , 10th anniversary cross; ",2014-10-29,24.47,Other
161,Willow Tree Two Together; ,2014-10-29,13.8,Other
162,Wolverine Origins Adamantium Adult Claws Silver One-Size Marvel Adult; ,2014-10-28,14.99,Other
163,Sports Waist Bum Bag Fanny Pack Belt Storage Pouch For Jogging Running Hiking Green; ,2014-10-28,4.24,Other
164,"Fisher-Price Baby's First Blocks and Rock Stack Bundle; ASICS Women's Gel Kayano 20 Running Shoe,Black/Plum/Blue,10 M US; ",2014-10-28,95.52,Other
